link,title,price,address,owner,baths,postDate,furnished,pets,beds,sizeSF,sizeAC
http://www.kijiji.ca//v-house-for-sale/guelph/investors-students-downsizing-superb-3-bedroom-townhouse/1144085995,"Investors, students, downsizing Superb 3 bedroom townhouse","$244,900.00","346 Scottsdale Dr, Guelph, ON N1G 2Z8, Canada",Owner,2 bathrooms,29-Feb-16,,,3 bedrooms,1050,
http://www.kijiji.ca//v-house-rental/guelph/5-bedroom-student-rental-in-south-guelph-480-each/1144089884,5 Bedroom student rental in south Guelph. ($480 each),"$2,400.00","14 Katemore Dr, Guelph, ON N1L 0J2, Canada",Owner,2.5 bathrooms,29-Feb-16,No,,5 bedrooms,,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/central-location-2-bedroom-basement-apartment/1144083396,Central Location 2 Bedroom Basement Apartment,"$1,200.00",", Guelph  ON",Owner,1 bathroom,29-Feb-16,No,No,,,
http://www.kijiji.ca//v-house-rental/guelph/town-house-with-finished-walkout-basement-and-attached-garage/1144090009,Town House With Finished Walkout Basement and attached Garage,"$1,500.00","Grandridge Crescent, Guelph, ON N1H, Canada",Owner,2.5 bathrooms,29-Feb-16,No,No,3 bedrooms,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/rooms-available/1144110185,Rooms available,$480.00,"Ironwood Rd, Guelph, ON N1G, Canada",,,29-Feb-16,No,Yes,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/cozy-room-for-rent-on-edinburg/1144111882,Cozy room for rent on Edinburg ,$450.00,"Southcreek Trail, Guelph, ON N1G, Canada",,,01-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/2-students-looking-for-apartment-on-north-west-side-of-guelph/1144069742,Wanted: 2 Students Looking For Apartment on North West Side of Guelph,Please Contact,",   ON",Owner,1 bathroom,29-Feb-16,No,No,,,
http://www.kijiji.ca//v-house-rental/guelph/character-row-home-deep-backyard-april-1-walk-downtown/1141460977,Character Row Home - Deep Backyard - April 1 - Walk Downtown!,"$1,645.00","70 Glasgow St. South, Guelph N1H4V1 ON",Owner,2 bathrooms,01-Mar-16,No,No,3 bedrooms,1225,
http://www.kijiji.ca//v-1-bedroom-apartments-condos/guelph/updated-one-bedroom-with-parking-shared-yard-walk-downtown/1141463919,Updated One Bedroom With Parking + Shared Yard - Walk Downtown!,"$1,050.00","104  Bristol , 104 Bristol St. Guelph N1H3L6 ON",Owner,1 bathroom,01-Mar-16,No,Yes,,,
http://www.kijiji.ca//v-4-plus-bedroom-apartments-condos/guelph/beautiful-4-bedroom-townhouse-in-the-south-of-guelph/1144116101,Beautiful 4 bedroom Townhouse in the South of Guelph,"$1,675.00","151 Clairfields Dr E, Guelph, ON N1L 1M4, Canada",Owner,3.5 bathrooms,01-Mar-16,No,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/large-lower-level-private-bedroom-with-ensuite-may-till-aug/1144101882,Large lower level private bedroom with ensuite (MAY TILL AUG),$400.00,"100 Lambeth Way, Guelph, ON N1L 1T7, Canada",,,01-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/large-lower-level-private-bedroom-with-ensuite-may-till-aug/1144102363,Large lower level private bedroom with ensuite (MAY TILL AUG),$400.00,"100 Lambeth Way, Guelph, ON N1L 1T7, Canada",,,01-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-1-bedroom-apartments-condos/guelph/quality-1-bedroom-apartments-in-great-location/1099930041,Quality 1 bedroom apartments in great location!,"$1,025.00","244 & 246 Willow Road, Guelph, ON, N1H 6R5",Professional,1 bathroom,01-Mar-16,No,No,,,
http://www.kijiji.ca//v-bachelor-studio-apartments-condos/guelph/looking-to-split-on-a-nice-place-with-someone-or-a-bachelor/1144122747,Wanted: looking to split on a nice place with someone or a bachelor,Please Contact,", guelph  ON",Owner,1 bathroom,01-Mar-16,No,,,,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/silvercreek-terrace-120-edinburgh-rd-2bd/1099808010,Silvercreek Terrace - 120 Edinburgh Rd - 2bd,"$1,229.00","120 Edinburgh Rd. S., Guelph, ON, n1h 5p7",Professional,1 bathroom,01-Mar-16,No,Yes,,,
http://www.kijiji.ca//v-real-estate-service/guelph/private-money-lenders-can-make-up-to-15-in-10-days-on-multiple/1144124976,Wanted: Private money lenders can make up to 15% in 10 days! on multiple,,Guelph,,,01-Mar-16,,,,,
http://www.kijiji.ca//v-real-estate-service/guelph/attention-priavte-money-lenders-make-50-in-three-months/1144125013,Wanted: ATTENTION PRIAVTE MONEY LENDERS MAKE 50% IN THREE MONTHS!,,Guelph,,,01-Mar-16,,,,,
http://www.kijiji.ca//v-real-estate-service/guelph/private-money-lender-joint-venture-partner-needed/1144125051,Wanted: Private money Lender / Joint venture partner needed,,Guelph,,,01-Mar-16,,,,,
http://www.kijiji.ca//v-real-estate-service/guelph/chance-for-private-money-lender-or-jv-partner-to-make-12-50/1144125125,Wanted: Chance for Private Money Lender or JV partner to make 12% - 50%,,Guelph,,,01-Mar-16,,,,,
http://www.kijiji.ca//v-real-estate-service/guelph/private-money-lenders-to-make-50/1144125076,Wanted: Private Money Lenders to Make 50%,,Guelph,,,01-Mar-16,,,,,
http://www.kijiji.ca//v-storage-parking/guelph/storage/1025502122,Storage,Please Contact,", Acton",Owner,,01-Mar-16,,,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/elora-furnished-room-for-rent/1144131226,Elora - Furnished Room for Rent,Please Contact,"Centre Wellington, ON  N0B1S0",,,01-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/student-residence/1144130828,STUDENT RESIDENCE,$440.00,"162 Weber St N, Waterloo, ON N2J 3H1, Canada",,,01-Mar-16,No,Yes,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/student-rental-one-bedroom-available-newly-renovated-home/1144133965,STUDENT RENTAL - ONE BEDROOM AVAILABLE - NEWLY RENOVATED HOME,$400.00,"Cole Rd, Guelph, ON N1G, Canada",,,01-Mar-16,No,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/room-sublet-from-may-september/1144090651,Room Sublet from May-September,$385.00,"64 Forbes Ave, Guelph, ON N1G 1G4, Canada",,,29-Feb-16,Yes,No,,,
http://www.kijiji.ca//v-house-rental/guelph/three-rooms-availble-may-1st-utilities-and-internet-included/1144092622,Three rooms availble May 1'st UTILITIES AND INTERNET INCLUDED,$475.00,"427 Cole Rd, Guelph, ON N1G 3E9, Canada",Owner,2.5 bathrooms,29-Feb-16,No,No,6 or more bedrooms,1500,
http://www.kijiji.ca//v-room-rental-roommate/guelph/walk-or-direct-bus-to-u-of-g-utilities-and-internet-incl/1144091436,WALK OR DIRECT BUS TO U of G!!  UTILITIES AND INTERNET INCL!!!!!,$475.00,"427 Cole Rd, Guelph, ON N1G 3E9, Canada",,,29-Feb-16,No,No,,,
